Pathogen Species,GA,species,GA,size,gc,genes
Antarctic virus 5_I_KPSTAsw008Ad,,Antarctic virus 5_I_KPSTAsw008Ad,GCA_031223735.1,2719.0,49.5,
Antarctic virus 5_I_KPSTAsw009Ad,,Antarctic virus 5_I_KPSTAsw009Ad,GCA_031223745.1,2719.0,49.5,
Antarctic virus 5_I_KPSTAsw018Ch,,Antarctic virus 5_I_KPSTAsw018Ch,GCA_031223755.1,2719.0,49.5,
Antarctic virus 5_I_KPSTAsw020Ch,,Antarctic virus 5_I_KPSTAsw020Ch,GCA_031223765.1,2719.0,49.5,
Antarctic virus 6_I_APBOOTsw001Ad,,Antarctic virus 6_I_APBOOTsw001Ad,GCA_031223775.1,2329.0,49,
Antarctic virus 6_I_APBOOTsw001Ch,,Antarctic virus 6_I_APBOOTsw001Ch,GCA_031223905.1,2329.0,49,
Apapanepox virus,,Apapanepox virus,,,,
Aplomado falcon AAV1,0,Aplomado falcon AAV1,,,,
Aplomado falcon AAV2,0,Aplomado falcon AAV2,,,,
Apteryx rowi circovirus-like virus,GCF_004129215.1,Apteryx rowi circovirus-like virus,GCF_004129215.1,2085.0,46,2
Aquila chrysaetos herpesvirus,,Aquila chrysaetos herpesvirus,,,,
Ara ararauna Chaphamaparvovirus,,Ara ararauna Chaphamaparvovirus,,,,
Ara ararauna aveparvovirus,,Ara ararauna aveparvovirus,,,,
Ara ararauna parvoviridae sp.,,Ara ararauna parvoviridae sp.,,,,
Ara severa parvoviridae sp.,,Ara severa parvoviridae sp.,,,,
Ardenna gravis alphaherpesvirus,,Ardenna gravis alphaherpesvirus,,,,
Artemyev virus,0,Artemyev virus,,,,
Arundinax aedon parvoviridae sp.,,Arundinax aedon parvoviridae sp.,,,,
Asio otus herpesvirus,,Asio otus herpesvirus,,,,
Astroviridae sp.,,Astroviridae sp.,GCA_031323405.1,8840.0,42,
Astrovirus CDB-2012,0,Astrovirus CDB-2012,,,,
Astrovirus Er/BMTK529/HUN/2011,0,Astrovirus Er/BMTK529/HUN/2011,,,,
Astrovirus Er/SZAL6/HUN/2011,GCF_001045265.1,Astrovirus Er/SZAL6/HUN/2011,GCF_001045265.1,7025.0,52.5,3
Astrovirus HK-2014,0,Astrovirus HK-2014,,,,
Astrovirus Pygoscelis/DT/2012,0,Astrovirus Pygoscelis/DT/2012,,,,
Astrovirus black-naped monarch/Cambodia/2010,0,Astrovirus black-naped monarch/Cambodia/2010,,,,
Atadenovirus sp.,,Atadenovirus sp.,,,,
Australian shelduck avian sapelovirus,0,Australian shelduck avian sapelovirus,,,,
Avastrovirus 1,0,Avastrovirus 1,,,,
Avastrovirus 2,,Avastrovirus 2,,,,
Avastrovirus 3,,Avastrovirus 3,,,,
Avastrovirus guineafowl/ITA/2010/Bari-ELVA,0,Avastrovirus guineafowl/ITA/2010/Bari-ELVA,,,,
Avastrovirus sp.,,Avastrovirus sp.,,,,
Aveparvovirus columbid1,0,Aveparvovirus columbid1,,,,
Aveparvovirus galliform1,,Aveparvovirus galliform1,,,,
Aveparvovirus gruiform1,GCF_004130255.1,Aveparvovirus gruiform1,GCF_004130255.1,5515.0,54,4
Aveparvovirus sp.,,Aveparvovirus sp.,GCA_031199785.1,6092.0,45,
Averyanov virus,0,Averyanov virus,,,,
Aviadenovirus KLC-2015,0,Aviadenovirus KLC-2015,,,,
Aviadenovirus hydropericardii,,Aviadenovirus hydropericardii,,,,
Aviadenovirus leucophthalmi,GCF_023131475.1,Aviadenovirus leucophthalmi,GCF_023131475.1,35595.0,52.5,25
Aviadenovirus sp.,,Aviadenovirus sp.,GCA_034408845.1,40727.0,49.5,
Avian HDV-like agent,GCF_004134625.1,Avian HDV-like agent,GCF_004134625.1,1706.0,51,1
Avian associated bastrovirus 1,,Avian associated bastrovirus 1,,,,
Avian associated bastrovirus 2,,Avian associated bastrovirus 2,,,,
Avian associated calicivirus 1,,Avian associated calicivirus 1,,,,
Avian associated calicivirus 2,,Avian associated calicivirus 2,,,,
Avian associated calicivirus 3,,Avian associated calicivirus 3,,,,
Avian associated calicivirus 4,,Avian associated calicivirus 4,,,,
Avian associated calicivirus 5,,Avian associated calicivirus 5,,,,
Avian associated hepe-like virus 1,,Avian associated hepe-like virus 1,,,,
Avian associated hepe-like virus 10,,Avian associated hepe-like virus 10,,,,
Avian associated hepe-like virus 2,,Avian associated hepe-like virus 2,,,,
Avian associated hepe-like virus 3,,Avian associated hepe-like virus 3,,,,
Avian associated hepe-like virus 4,,Avian associated hepe-like virus 4,,,,
Avian associated hepe-like virus 5,,Avian associated hepe-like virus 5,,,,
Avian associated hepe-like virus 6,,Avian associated hepe-like virus 6,,,,
Avian associated hepe-like virus 7,,Avian associated hepe-like virus 7,,,,
Avian associated hepe-like virus 8,,Avian associated hepe-like virus 8,,,,
Avian associated hepe-like virus 9,,Avian associated hepe-like virus 9,,,,
Avian associated orbivirus 1,,Avian associated orbivirus 1,,,,
Avian associated picorna-like virus 1,,Avian associated picorna-like virus 1,,,,
Avian associated picorna-like virus 10,,Avian associated picorna-like virus 10,,,,
Avian associated picorna-like virus 11,,Avian associated picorna-like virus 11,,,,
Avian associated picorna-like virus 13,,Avian associated picorna-like virus 13,,,,
Avian associated picorna-like virus 14,,Avian associated picorna-like virus 14,,,,
Avian associated picorna-like virus 15,,Avian associated picorna-like virus 15,,,,
Avian associated picorna-like virus 16,,Avian associated picorna-like virus 16,,,,
Avian associated picorna-like virus 17,,Avian associated picorna-like virus 17,,,,
Avian associated picorna-like virus 18,,Avian associated picorna-like virus 18,,,,
Avian associated picorna-like virus 19,,Avian associated picorna-like virus 19,,,,
Avian associated picorna-like virus 2,,Avian associated picorna-like virus 2,,,,
Avian associated picorna-like virus 20,,Avian associated picorna-like virus 20,,,,
Avian associated picorna-like virus 21,,Avian associated picorna-like virus 21,,,,
Avian associated picorna-like virus 22,,Avian associated picorna-like virus 22,,,,
Avian associated picorna-like virus 23,,Avian associated picorna-like virus 23,,,,
Avian associated picorna-like virus 24,,Avian associated picorna-like virus 24,,,,
Avian associated picorna-like virus 25,,Avian associated picorna-like virus 25,,,,
Avian associated picorna-like virus 26,,Avian associated picorna-like virus 26,,,,
Avian associated picorna-like virus 27,,Avian associated picorna-like virus 27,,,,
Avian associated picorna-like virus 3,,Avian associated picorna-like virus 3,,,,
Avian associated picorna-like virus 4,,Avian associated picorna-like virus 4,,,,
Avian associated picorna-like virus 5,,Avian associated picorna-like virus 5,,,,
Avian associated picorna-like virus 6,,Avian associated picorna-like virus 6,,,,
Avian associated picorna-like virus 7,,Avian associated picorna-like virus 7,,,,
Avian associated picorna-like virus 8,,Avian associated picorna-like virus 8,,,,
Avian associated picorna-like virus 9,,Avian associated picorna-like virus 9,,,,
Avian associated reo-like virus 1,,Avian associated reo-like virus 1,,,,
Avian associated reo-like virus 2,,Avian associated reo-like virus 2,,,,
Avian associated reo-like virus 3,,Avian associated reo-like virus 3,,,,
Avian associated reo-like virus 4,,Avian associated reo-like virus 4,,,,
Avian associated reo-like virus 5,,Avian associated reo-like virus 5,,,,
Avian associated reo-like virus 6,,Avian associated reo-like virus 6,,,,
Avian astrovirus,,Avian astrovirus,GCA_031163175.1,6900.0,48.5,3
Avian astrovirus 2,,Avian astrovirus 2,,,,
Avian avastrovirus 4,,Avian avastrovirus 4,,,,
Avian bornavirus,,Avian bornavirus,,,,
Avian chapparvovirus,GCF_029884985.1,Avian chapparvovirus,GCF_029884985.1,4425.0,40.5,3
Avian coronavirus,GCF_012271575.1,Avian coronavirus,GCF_012271575.1,27464.0,38,6
Avian coronavirus 9203,0,Avian coronavirus 9203,,,,
Avian coronavirus MW05,0,Avian coronavirus MW05,,,,
Avian endogenous retrovirus EAV-HP,GCF_000859965.1,Avian endogenous retrovirus EAV-HP,GCF_000859965.1,4302.0,53,1
Avian endogenous virus,0,Avian endogenous virus,,,,
Avian gyrovirus 13,,Avian gyrovirus 13,GCA_031236215.1,2195.0,46.5,2
Avian leukosis virus,GCF_000891575.1,Avian leukosis virus,GCF_000891575.1,7489.0,53,3
Avian megrivirus,,Avian megrivirus,GCA_031321445.1,9594.0,47,
Avian metaavulavirus 21,GCF_018586885.1,Avian metaavulavirus 21,GCF_018586885.1,16914.0,40.5,6
Avian myeloblastosis-associated virus,0,Avian myeloblastosis-associated virus,,,,
Avian nephritis virus,,Avian nephritis virus,GCA_031155505.1,6959.0,45.5,
Avian nephritis virus 3,0,Avian nephritis virus 3,,,,
Avian orthoreovirus,GCF_003092915.1,Avian orthoreovirus,GCF_003092915.1,23593.0,48.5,12
Avian paramyxovirus 17,GCF_013087815.1,Avian paramyxovirus 17,GCF_013087815.1,15408.0,52,6
Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,0,Avian paramyxovirus penguin/Espirito Santo-Brazil/2008,,,,
Avian picobirnavirus,,Avian picobirnavirus,,,,
Avian picobirnavirus GI,0,Avian picobirnavirus GI,,,,
Avian polyomavirus,,Avian polyomavirus,,,,
Avian retrovirus,0,Avian retrovirus,,,,
Avian rotavirus turkey/Minnesota/B1001/2008,0,Avian rotavirus turkey/Minnesota/B1001/2008,,,,
Avian rotavirus turkey/Minnesota/B1002/2008,0,Avian rotavirus turkey/Minnesota/B1002/2008,,,,
Avian rotavirus turkey/Minnesota/B1003/2008,0,Avian rotavirus turkey/Minnesota/B1003/2008,,,,
Avian rotavirus turkey/Minnesota/B1004/2008,0,Avian rotavirus turkey/Minnesota/B1004/2008,,,,
Avian rotavirus turkey/Minnesota/B1006/2008,0,Avian rotavirus turkey/Minnesota/B1006/2008,,,,
Avian rotavirus turkey/Minnesota/B1009/2008,0,Avian rotavirus turkey/Minnesota/B1009/2008,,,,
Avian rotavirus turkey/Minnesota/B1010/2008,0,Avian rotavirus turkey/Minnesota/B1010/2008,,,,
Avian rotavirus turkey/Minnesota/B1012/2008,0,Avian rotavirus turkey/Minnesota/B1012/2008,,,,
Avian rotavirus turkey/Minnesota/B1013/2008,0,Avian rotavirus turkey/Minnesota/B1013/2008,,,,
Avian rotavirus turkey/Minnesota/B1014/2008,0,Avian rotavirus turkey/Minnesota/B1014/2008,,,,
Avian rotavirus turkey/Minnesota/B1015/2008,0,Avian rotavirus turkey/Minnesota/B1015/2008,,,,
Avian rotavirus turkey/Minnesota/B1016/2008,0,Avian rotavirus turkey/Minnesota/B1016/2008,,,,
Avian rotavirus turkey/Minnesota/B1017/2008,0,Avian rotavirus turkey/Minnesota/B1017/2008,,,,
Avian rotavirus turkey/Minnesota/B1019/2008,0,Avian rotavirus turkey/Minnesota/B1019/2008,,,,
Avian rotavirus turkey/Minnesota/B1020/2008,0,Avian rotavirus turkey/Minnesota/B1020/2008,,,,
Avian rotavirus turkey/Minnesota/B1021/2008,0,Avian rotavirus turkey/Minnesota/B1021/2008,,,,
Avian rotavirus turkey/Minnesota/B1023/2008,0,Avian rotavirus turkey/Minnesota/B1023/2008,,,,
Avian rotavirus turkey/Minnesota/B2004/2008,0,Avian rotavirus turkey/Minnesota/B2004/2008,,,,
Avian rotavirus turkey/Minnesota/B2031/2008,0,Avian rotavirus turkey/Minnesota/B2031/2008,,,,
Avian rotavirus turkey/Minnesota/B2032/2008,0,Avian rotavirus turkey/Minnesota/B2032/2008,,,,
Avian rotavirus turkey/Minnesota/B2036/2008,0,Avian rotavirus turkey/Minnesota/B2036/2008,,,,
Avian rotavirus turkey/Minnesota/B2039/2008,0,Avian rotavirus turkey/Minnesota/B2039/2008,,,,
Avian rotavirus turkey/Minnesota/B3003/2008,0,Avian rotavirus turkey/Minnesota/B3003/2008,,,,
Avian rotavirus turkey/Minnesota/B3004/2008,0,Avian rotavirus turkey/Minnesota/B3004/2008,,,,
Avian rotavirus turkey/Minnesota/B3005/2008,0,Avian rotavirus turkey/Minnesota/B3005/2008,,,,
Avian rotavirus turkey/Minnesota/B3006/2008,0,Avian rotavirus turkey/Minnesota/B3006/2008,,,,
Avian rotavirus turkey/Minnesota/B3007/2008,0,Avian rotavirus turkey/Minnesota/B3007/2008,,,,
Avian rotavirus turkey/Minnesota/B3025/2008,0,Avian rotavirus turkey/Minnesota/B3025/2008,,,,
Avian rotavirus turkey/Minnesota/B3029/2008,0,Avian rotavirus turkey/Minnesota/B3029/2008,,,,
Avian rotavirus turkey/Minnesota/B4021/2008,0,Avian rotavirus turkey/Minnesota/B4021/2008,,,,
Avian rotavirus turkey/Minnesota/B5006/2008,0,Avian rotavirus turkey/Minnesota/B5006/2008,,,,
Avian rotavirus turkey/Minnesota/B5009/2008,0,Avian rotavirus turkey/Minnesota/B5009/2008,,,,
Avian rotavirus turkey/Minnesota/B5015/2008,0,Avian rotavirus turkey/Minnesota/B5015/2008,,,,
Avian rotavirus turkey/Minnesota/B5018/2008,0,Avian rotavirus turkey/Minnesota/B5018/2008,,,,
Avian rotavirus turkey/Minnesota/B5019/2008,0,Avian rotavirus turkey/Minnesota/B5019/2008,,,,
Avian rotavirus turkey/Minnesota/B5020/2008,0,Avian rotavirus turkey/Minnesota/B5020/2008,,,,
Avian rotavirus turkey/Minnesota/B5022/2008,0,Avian rotavirus turkey/Minnesota/B5022/2008,,,,
Avian rotavirus turkey/Minnesota/B5023/2008,0,Avian rotavirus turkey/Minnesota/B5023/2008,,,,
Avian rotavirus turkey/Minnesota/B5024/2008,0,Avian rotavirus turkey/Minnesota/B5024/2008,,,,
Avian rotavirus turkey/Minnesota/B5035/2008,0,Avian rotavirus turkey/Minnesota/B5035/2008,,,,
Avibirnavirus gumboroense,GCF_000855485.1,Avibirnavirus gumboroense,GCF_000855485.1,5898.0,53.5,3
Avihepatovirus A,,Avihepatovirus A,,,,
Avihepatovirus sp.,0,Avihepatovirus sp.,,,,
Avihepevirus egretti,0,Avihepevirus egretti,,,,
Avihepevirus magniiecur,,Avihepevirus magniiecur,,,,
Avipoxvirus 1130,,Avipoxvirus 1130,,,,
Avipoxvirus 2017,0,Avipoxvirus 2017,,,,
Avipoxvirus 2A205643,0,Avipoxvirus 2A205643,,,,
Avipoxvirus 31239,0,Avipoxvirus 31239,,,,
Avipoxvirus 3864,0,Avipoxvirus 3864,,,,
Avipoxvirus BL-2012,0,Avipoxvirus BL-2012,,,,
Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,0,Avipoxvirus Berthelot's pipit/Porto Santo/V5PO/2006,,,,
Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,0,Avipoxvirus Berthelot's pipit/Tenerife/blue titpox/2006,,,,
Avipoxvirus Betim 1,0,Avipoxvirus Betim 1,,,,
Avipoxvirus CVL,0,Avipoxvirus CVL,,,,
Avipoxvirus DX,0,Avipoxvirus DX,,,,
Avipoxvirus E00/RD,0,Avipoxvirus E00/RD,,,,
Avipoxvirus E00/S5,0,Avipoxvirus E00/S5,,,,
Avipoxvirus E00/U5,0,Avipoxvirus E00/U5,,,,
Avipoxvirus E00/UN,0,Avipoxvirus E00/UN,,,,
Avipoxvirus E00/VS,0,Avipoxvirus E00/VS,,,,
Avipoxvirus EX8221,0,Avipoxvirus EX8221,,,,
Avipoxvirus FGPV_KD09.ZAF,0,Avipoxvirus FGPV_KD09.ZAF,,,,
Avipoxvirus FMA-2012,0,Avipoxvirus FMA-2012,,,,
Avipoxvirus GB,0,Avipoxvirus GB,,,,
Avipoxvirus Gav01/Lima/2011,0,Avipoxvirus Gav01/Lima/2011,,,,
Avipoxvirus HNPV/NZL/2002,0,Avipoxvirus HNPV/NZL/2002,,,,
Avipoxvirus HUPV1/NZL/1992,0,Avipoxvirus HUPV1/NZL/1992,,,,
Avipoxvirus ID2701,0,Avipoxvirus ID2701,,,,
Avipoxvirus ID2757,0,Avipoxvirus ID2757,,,,
Avipoxvirus ID8501092,0,Avipoxvirus ID8501092,,,,
Avipoxvirus ID8926,0,Avipoxvirus ID8926,,,,
Avipoxvirus ID8964,0,Avipoxvirus ID8964,,,,
Avipoxvirus ID9081,0,Avipoxvirus ID9081,,,,
Avipoxvirus ID9801,0,Avipoxvirus ID9801,,,,
Avipoxvirus India/07/2009,0,Avipoxvirus India/07/2009,,,,
Avipoxvirus India/08/2009,0,Avipoxvirus India/08/2009,,,,
Avipoxvirus Japanese cormorant/Iwakuni/2017,0,Avipoxvirus Japanese cormorant/Iwakuni/2017,,,,
Avipoxvirus Japanese cormorant/Miyoshi/2017,0,Avipoxvirus Japanese cormorant/Miyoshi/2017,,,,
Avipoxvirus Japanese cormorant/Yamanashi/2017,0,Avipoxvirus Japanese cormorant/Yamanashi/2017,,,,
Avipoxvirus Japanese cormorant/Yamanashi/2019,0,Avipoxvirus Japanese cormorant/Yamanashi/2019,,,,
Avipoxvirus MK1,0,Avipoxvirus MK1,,,,
Avipoxvirus MZ-2014,0,Avipoxvirus MZ-2014,,,,
Avipoxvirus N624124,0,Avipoxvirus N624124,,,,
Avipoxvirus OKr-2014,0,Avipoxvirus OKr-2014,,,,
Avipoxvirus OL1,0,Avipoxvirus OL1,,,,
Avipoxvirus PA153/05,0,Avipoxvirus PA153/05,,,,
Avipoxvirus PAPV/NZL/2002,0,Avipoxvirus PAPV/NZL/2002,,,,
Avipoxvirus PCcPV1/NZL/2006,0,Avipoxvirus PCcPV1/NZL/2006,,,,
Avipoxvirus PCcPV2/NZL/2007,0,Avipoxvirus PCcPV2/NZL/2007,,,,
Avipoxvirus PEPV_San92,0,Avipoxvirus PEPV_San92,,,,
Avipoxvirus PGPV10K_LD1,0,Avipoxvirus PGPV10K_LD1,,,,
Avipoxvirus PGPV10K_RP1,0,Avipoxvirus PGPV10K_RP1,,,,
Avipoxvirus PGPV10K_SP1,0,Avipoxvirus PGPV10K_SP1,,,,
Avipoxvirus PGPV11K_FP1,0,Avipoxvirus PGPV11K_FP1,,,,
Avipoxvirus PGPV11K_FP2,0,Avipoxvirus PGPV11K_FP2,,,,
Avipoxvirus PGPV11K_LD2,0,Avipoxvirus PGPV11K_LD2,,,,
Avipoxvirus PGPV11K_Pi5,0,Avipoxvirus PGPV11K_Pi5,,,,
Avipoxvirus PGPV93K_RP2,0,Avipoxvirus PGPV93K_RP2,,,,
Avipoxvirus PGPVO_Pi1,0,Avipoxvirus PGPVO_Pi1,,,,
Avipoxvirus PGPVO_Pi2,0,Avipoxvirus PGPVO_Pi2,,,,
Avipoxvirus PGPVO_Pi4,0,Avipoxvirus PGPVO_Pi4,,,,
Avipoxvirus PTPV/NZL/2005,0,Avipoxvirus PTPV/NZL/2005,,,,
Avipoxvirus Pat/07,0,Avipoxvirus Pat/07,,,,
Avipoxvirus Peekham,0,Avipoxvirus Peekham,,,,
Avipoxvirus Pox10291,0,Avipoxvirus Pox10291,,,,
Avipoxvirus Pox10302,0,Avipoxvirus Pox10302,,,,
Avipoxvirus Pox10588,0,Avipoxvirus Pox10588,,,,
Avipoxvirus Pox10643,0,Avipoxvirus Pox10643,,,,
Avipoxvirus Pox10716,0,Avipoxvirus Pox10716,,,,
Avipoxvirus Pox11408,0,Avipoxvirus Pox11408,,,,
Avipoxvirus Pox11458,0,Avipoxvirus Pox11458,,,,
Avipoxvirus Pox12717,0,Avipoxvirus Pox12717,,,,
Avipoxvirus Pox13916,0,Avipoxvirus Pox13916,,,,
Avipoxvirus Pox7379,0,Avipoxvirus Pox7379,,,,
Avipoxvirus PoxHAAM26,0,Avipoxvirus PoxHAAM26,,,,
Avipoxvirus PoxPV013.3,0,Avipoxvirus PoxPV013.3,,,,
Avipoxvirus Spilornis cheela/Taiwan/2008,0,Avipoxvirus Spilornis cheela/Taiwan/2008,,,,
Avipoxvirus TD,0,Avipoxvirus TD,,,,
Avipoxvirus TMPV,0,Avipoxvirus TMPV,,,,
Avipoxvirus TNPV3/NZL/2007,0,Avipoxvirus TNPV3/NZL/2007,,,,
Avipoxvirus TNPV6/NZL/2009,0,Avipoxvirus TNPV6/NZL/2009,,,,
Avipoxvirus TPPV/NZL/2002,0,Avipoxvirus TPPV/NZL/2002,,,,
Avipoxvirus TVPV2/NZL/2008,0,Avipoxvirus TVPV2/NZL/2008,,,,
Avipoxvirus VIC-02,0,Avipoxvirus VIC-02,,,,
Avipoxvirus VIC-08,0,Avipoxvirus VIC-08,,,,
Avipoxvirus XL,0,Avipoxvirus XL,,,,
Avipoxvirus ZLPV1/NZL/2007,0,Avipoxvirus ZLPV1/NZL/2007,,,,
Avipoxvirus blackcap/CZE/2007,0,Avipoxvirus blackcap/CZE/2007,,,,
Avipoxvirus canary/PT-44463/Portugal/2010,0,Avipoxvirus canary/PT-44463/Portugal/2010,,,,
Avipoxvirus chicken/PT-30327/Portugal/2013,0,Avipoxvirus chicken/PT-30327/Portugal/2013,,,,
Avipoxvirus clade C,0,Avipoxvirus clade C,,,,
